flickr_id	flickr_url	book_identifier	title	first_author	pubplace	publisher	date	volume	page	image_idx	ARK_id_of_book	BL_DLS_ID
11047057014	http://www.flickr.com/photos/britishlibrary/11047057014	003022579	Album of Flowers [by W. F. R. A collection of verses, with embossed illustrations]	R., W. F.	London		1837	0	000039	1		
11047056184	http://www.flickr.com/photos/britishlibrary/11047056184	003022579	Album of Flowers [by W. F. R. A collection of verses, with embossed illustrations]	R., W. F.	London		1837	0	000054	1		
11014421406	http://www.flickr.com/photos/britishlibrary/11014421406	004020131	Gallerie aus der Österreichischen Vaterlandsgeschichte in bildlicher Darstellung, etc	ZIEGLER, Anton Historical Writer	Wien		1837	02	000154	1		
11014420286	http://www.flickr.com/photos/britishlibrary/11014420286	002785702	[National history and views of London and its environs ... From original drawings by eminent artists. Edited by C. F. Partington, etc.]	PARTINGTON, Charles Frederick.	London	Black & Armstrong	1837	0	000052	1	ark:/81055/vdc_000000059412	lsidyv3c48d4ab
11014419636	http://www.flickr.com/photos/britishlibrary/11014419636	003927270	Manners and Customs of the ancient Egyptians, ... Illustrated by drawings, etc. 3 vol. (A second series of the Manners and Customs of the Ancient Egyptians. 3 vol.)	WILKINSON, John Gardner Sir	London		1837	04	001101	1		
11014316325	http://www.flickr.com/photos/britishlibrary/11014316325	003927270	Manners and Customs of the ancient Egyptians, ... Illustrated by drawings, etc. 3 vol. (A second series of the Manners and Customs of the Ancient Egyptians. 3 vol.)	WILKINSON, John Gardner Sir	London		1837	04	001085	1		
11014491624	http://www.flickr.com/photos/britishlibrary/11014491624	000056966	The History and Antiquities of London, Westminster, Southwark, and parts adjacent, etc	ALLEN, Thomas Topographer	London	George Virtue	1837	01	000057	1	ark:/81055/vdc_000000056D4E	lsidyv3c1b917d
11014491404	http://www.flickr.com/photos/britishlibrary/11014491404	000048378	Narrative of a Voyage of Observation among the Colonies of Western Africa ... and of a campaign in Kaffir-Land ... in 1835 ... Illustrated with maps and plates by Major C. C. Michell	Alexander, James Edward Sir	London	Henry Colburn	1837	01	000063	1	ark:/81055/vdc_00000005E5D8	lsidyv3cd9845d
11014490264	http://www.flickr.com/photos/britishlibrary/11014490264	000048378	Narrative of a Voyage of Observation among the Colonies of Western Africa ... and of a campaign in Kaffir-Land ... in 1835 ... Illustrated with maps and plates by Major C. C. Michell	Alexander, James Edward Sir	London	Henry Colburn	1837	01	000034	1	ark:/81055/vdc_00000005E5D8	lsidyv3cd9845d
11014313175	http://www.flickr.com/photos/britishlibrary/11014313175	004020131	Gallerie aus der Österreichischen Vaterlandsgeschichte in bildlicher Darstellung, etc	ZIEGLER, Anton Historical Writer	Wien		1837	02	000148	1		
11014414636	http://www.flickr.com/photos/britishlibrary/11014414636	004020131	Gallerie aus der Österreichischen Vaterlandsgeschichte in bildlicher Darstellung, etc	ZIEGLER, Anton Historical Writer	Wien		1837	01	000122	1		
11014413756	http://www.flickr.com/photos/britishlibrary/11014413756	001740528	Visit to the great Oasis of the Libyan Desert, with an account, ancient and modern, of the Oasis of Amun and the other Oases now under the dominion of the Pashas of Egypt, etc	HOSKINS, George Alexander.	London		1837	0	000169	1	ark:/81055/vdc_000000052AB8	lsidyv32d61b2f
11014531273	http://www.flickr.com/photos/britishlibrary/11014531273	004020131	Gallerie aus der Österreichischen Vaterlandsgeschichte in bildlicher Darstellung, etc	ZIEGLER, Anton Historical Writer	Wien		1837	02	000100	1		
11014412556	http://www.flickr.com/photos/britishlibrary/11014412556	001454347	Histoire d'Angleterre, par Olivier Goldsmith, continuée jusqu'en 1815 par Ch. Coote, et jusqu'à nos jours par le traducteur Mme. Alexandrine Aragon, avec notes d'après MM. Thierry, de Barante, de Norvins et Thiers	Goldsmith, Oliver	Paris	Houdaille	1837	01	000008	1		
11014309685	http://www.flickr.com/photos/britishlibrary/11014309685	002785702	[National history and views of London and its environs ... From original drawings by eminent artists. Edited by C. F. Partington, etc.]	PARTINGTON, Charles Frederick.	London	Black & Armstrong	1837	01	000298	1	ark:/81055/vdc_000000059412	lsidyv3c48d4ab
11014529913	http://www.flickr.com/photos/britishlibrary/11014529913	000354153	The Miseries and Beauties of Ireland. [With plates.]	BINNS, Jonathan Assistant Agricultural Commissioner on the Irish Poor Inquiry	London	Longman & Co.	1837	0	000158	1		
11014529043	http://www.flickr.com/photos/britishlibrary/11014529043	004020131	Gallerie aus der Österreichischen Vaterlandsgeschichte in bildlicher Darstellung, etc	ZIEGLER, Anton Historical Writer	Wien		1837	03	000048	1		
11014307495	http://www.flickr.com/photos/britishlibrary/11014307495	004020131	Gallerie aus der Österreichischen Vaterlandsgeschichte in bildlicher Darstellung, etc	ZIEGLER, Anton Historical Writer	Wien		1837	01	000134	1		
11014305895	http://www.flickr.com/photos/britishlibrary/11014305895	004020131	Gallerie aus der Österreichischen Vaterlandsgeschichte in bildlicher Darstellung, etc	ZIEGLER, Anton Historical Writer	Wien		1837	03	000228	1		
11014526943	http://www.flickr.com/photos/britishlibrary/11014526943	003927270	Manners and Customs of the ancient Egyptians, ... Illustrated by drawings, etc. 3 vol. (A second series of the Manners and Customs of the Ancient Egyptians. 3 vol.)	WILKINSON, John Gardner Sir	London		1837	04	001077	1		
11014302695	http://www.flickr.com/photos/britishlibrary/11014302695	000128010	Asher's Picture of Berlin and its Environs; containing a copious account of every object worthy of inspection in the Metropolis of Prussia, in Charlottenburg and Potsdam. To which is added a list of German classic authors and of their preeminent works	ASHER, Adolph.	Berlin	A. Asher	1837	0	000143	1	ark:/81055/vdc_000000053BB6	lsidyv3bbeaa90
11014479774	http://www.flickr.com/photos/britishlibrary/11014479774	002785702	[National history and views of London and its environs ... From original drawings by eminent artists. Edited by C. F. Partington, etc.]	PARTINGTON, Charles Frederick.	London	Black & Armstrong	1837	02	000174	1	ark:/81055/vdc_000000059412	lsidyv3c48d4ab
11014523933	http://www.flickr.com/photos/britishlibrary/11014523933	002077325	Ordnance Survey of the County of Londonderry. Colonel Colby superintendent. Volume I. (Memoir of the city and North Western Liberties of Londonderry. Parish of Templemore.) [By Sir T. A. L.]	LARCOM, Thomas Aiskew Right Hon. Sir, Bart	Dublin		1837	0	000277	1		
11014476594	http://www.flickr.com/photos/britishlibrary/11014476594	000740466	The History and Antiquities of Wellingborough, in the County of Northampton. [With plates.]	COLE, John of Scarborough	Wellingborough	C. M. Darby	1837	0	000152	1		
11014521333	http://www.flickr.com/photos/britishlibrary/11014521333	004020131	Gallerie aus der Österreichischen Vaterlandsgeschichte in bildlicher Darstellung, etc	ZIEGLER, Anton Historical Writer	Wien		1837	01	000128	1		
