volume	publisher	title	first_author	BL_DLS_ID	pubplace	book_identifier	ARK_id_of_book	date	flickr_url	image_idx	page	flickr_id	flickr_small_source	flickr_small_height	flickr_small_width	flickr_medium_source	flickr_medium_height	flickr_medium_width	flickr_large_source	flickr_large_height	flickr_large_width	flickr_original_source	flickr_original_height	flickr_original_width
0	R. & S. Prowett	[A General History of Malvern, embellished with plates, intended to comprise all the advantages of a guide, with the more important details of chemical, mineralogical, and statistical information. L.P.]	CHAMBERS, John of Worcester		Worcester	000654691		1820	http://www.flickr.com/photos/britishlibrary/11005209913	1	000008	11005209913	http://farm8.staticflickr.com/7404/11005209913_550dbec33a_m.jpg	240	141	http://farm8.staticflickr.com/7404/11005209913_550dbec33a.jpg	500	294	http://farm8.staticflickr.com/7404/11005209913_550dbec33a_b.jpg	1024	602	http://farm8.staticflickr.com/7404/11005209913_a740c29591_o.jpg	2174	1278
0	Sherwood, Neely & Jones	A Topographical and Historical Description of the County of Warwick ... Illustrated with sixteen engravings and a map	BREWER, James Norris.		London	000468468		1820	http://www.flickr.com/photos/britishlibrary/11004983245	1	000349	11004983245	http://farm8.staticflickr.com/7326/11004983245_0a6afa75bc_m.jpg	240	153	http://farm8.staticflickr.com/7326/11004983245_0a6afa75bc.jpg	500	319	http://farm8.staticflickr.com/7326/11004983245_0a6afa75bc_b.jpg	1024	654	http://farm8.staticflickr.com/7326/11004983245_9774f1d06d_o.jpg	2263	1446
0		Pomponii Melæ de situ orbis libri tres; ad omnium Angliæ et Hiberniæ Codicum MSS. fidem ... recogniti et collati; tabulisque ... illustrati. Opera et studio J. Reinoldii ... Editio altera, emendata	MELA, Pomponius.		Etonæ	002450159		1820	http://www.flickr.com/photos/britishlibrary/11005081516	1	000023	11005081516	http://farm8.staticflickr.com/7348/11005081516_13a3a8187b_m.jpg	240	167	http://farm8.staticflickr.com/7348/11005081516_13a3a8187b.jpg	500	349	http://farm8.staticflickr.com/7348/11005081516_13a3a8187b_b.jpg	1024	714	http://farm8.staticflickr.com/7348/11005081516_4470cf712a_o.jpg	2755	1922
0	Sherwood, Neely & Jones	A Topographical and Historical Description of the County of Warwick ... Illustrated with sixteen engravings and a map	BREWER, James Norris.		London	000468468		1820	http://www.flickr.com/photos/britishlibrary/11004982635	1	000153	11004982635	http://farm6.staticflickr.com/5502/11004982635_91831afcd6_m.jpg	240	152	http://farm6.staticflickr.com/5502/11004982635_91831afcd6.jpg	500	316	http://farm6.staticflickr.com/5502/11004982635_91831afcd6_b.jpg	1024	648	http://farm6.staticflickr.com/5502/11004982635_798db5d646_o.jpg	2316	1465
0	J. Fleming	The Post Chaise Companion ... [By R. Lewis? or W. Wilson.] The 4th edition, corrected and enlarged, with an entire new set of plates	LEWIS, R. Corrector of the Press		Dublin	002967049		1820	http://www.flickr.com/photos/britishlibrary/11005207143	1	000250	11005207143	http://farm3.staticflickr.com/2874/11005207143_7df5da47dd_m.jpg	188	240	http://farm3.staticflickr.com/2874/11005207143_7df5da47dd.jpg	393	500	http://farm3.staticflickr.com/2874/11005207143_7df5da47dd_b.jpg	804	1024	http://farm3.staticflickr.com/2874/11005207143_35b5034ef4_o.jpg	2494	3175
04	Sherwood, Neely & Jones; George Cowie & Co.	A Topographical and Historical Description of London and Middlesex ... By Messrs Brayley, Brewer, and Nightingale ... Illustrated with one hundred and fifty views, etc	BRAYLEY, Edward Wedlake.	lsidyv3c160668	London	000459450	ark:/81055/vdc_00000005690A	1820	http://www.flickr.com/photos/britishlibrary/11005146354	1	000027	11005146354	http://farm8.staticflickr.com/7360/11005146354_a10f4ae254_m.jpg	240	152	http://farm8.staticflickr.com/7360/11005146354_a10f4ae254.jpg	500	317	http://farm8.staticflickr.com/7360/11005146354_a10f4ae254_b.jpg	1024	649	http://farm8.staticflickr.com/7360/11005146354_b45aede431_o.jpg	2181	1382
03	Sherwood, Neely & Jones; George Cowie & Co.	A Topographical and Historical Description of London and Middlesex ... By Messrs Brayley, Brewer, and Nightingale ... Illustrated with one hundred and fifty views, etc	BRAYLEY, Edward Wedlake.	lsidyv3c160668	London	000459450	ark:/81055/vdc_00000005690A	1820	http://www.flickr.com/photos/britishlibrary/11005145364	1	000039	11005145364	http://farm6.staticflickr.com/5488/11005145364_8fb6e4854b_m.jpg	240	147	http://farm6.staticflickr.com/5488/11005145364_8fb6e4854b.jpg	500	307	http://farm6.staticflickr.com/5488/11005145364_8fb6e4854b_b.jpg	1024	629	http://farm6.staticflickr.com/5488/11005145364_13f071e368_o.jpg	2230	1369
03	Sherwood, Neely & Jones; George Cowie & Co.	A Topographical and Historical Description of London and Middlesex ... By Messrs Brayley, Brewer, and Nightingale ... Illustrated with one hundred and fifty views, etc	BRAYLEY, Edward Wedlake.	lsidyv3c160668	London	000459450	ark:/81055/vdc_00000005690A	1820	http://www.flickr.com/photos/britishlibrary/11005205973	1	000017	11005205973	http://farm6.staticflickr.com/5498/11005205973_8e93547dfa_m.jpg	240	142	http://farm6.staticflickr.com/5498/11005205973_8e93547dfa.jpg	500	295	http://farm6.staticflickr.com/5498/11005205973_8e93547dfa_b.jpg	1024	605	http://farm6.staticflickr.com/5498/11005205973_e8443c40ed_o.jpg	2316	1369
05	Sherwood, Neely & Jones; George Cowie & Co.	A Topographical and Historical Description of London and Middlesex ... By Messrs Brayley, Brewer, and Nightingale ... Illustrated with one hundred and fifty views, etc	BRAYLEY, Edward Wedlake.	lsidyv3c160668	London	000459450	ark:/81055/vdc_00000005690A	1820	http://www.flickr.com/photos/britishlibrary/11005077906	1	000037	11005077906	http://farm8.staticflickr.com/7452/11005077906_e95d9cdab7_m.jpg	240	158	http://farm8.staticflickr.com/7452/11005077906_e95d9cdab7.jpg	500	330	http://farm8.staticflickr.com/7452/11005077906_e95d9cdab7_b.jpg	1024	675	http://farm8.staticflickr.com/7452/11005077906_097e6d162e_o.jpg	2124	1400
0	V. Monaldini	Vedute antiche e moderne le più interessanti della città di Roma, incise da vari autori, in numero 100. (Explication ... rédigée ... par E. Piale.)	PIALE, Stefano.		Rome	003147404		1820	http://www.flickr.com/photos/britishlibrary/11004979215	1	000111	11004979215	http://farm3.staticflickr.com/2821/11004979215_70813014bf_m.jpg	140	240	http://farm3.staticflickr.com/2821/11004979215_70813014bf.jpg	292	500	http://farm3.staticflickr.com/2821/11004979215_70813014bf_b.jpg	597	1024	http://farm3.staticflickr.com/2821/11004979215_a6ef4b2e1b_o.jpg	1207	2070
05	Sherwood, Neely & Jones; George Cowie & Co.	A Topographical and Historical Description of London and Middlesex ... By Messrs Brayley, Brewer, and Nightingale ... Illustrated with one hundred and fifty views, etc	BRAYLEY, Edward Wedlake.	lsidyv3c160668	London	000459450	ark:/81055/vdc_00000005690A	1820	http://www.flickr.com/photos/britishlibrary/11005076906	1	000059	11005076906	http://farm8.staticflickr.com/7362/11005076906_7e2534d0ae_m.jpg	240	145	http://farm8.staticflickr.com/7362/11005076906_7e2534d0ae.jpg	500	303	http://farm8.staticflickr.com/7362/11005076906_7e2534d0ae_b.jpg	1024	620	http://farm8.staticflickr.com/7362/11005076906_24d92a13ae_o.jpg	2312	1400
02	Archibald Constable & Co.	History of the Indian Archipelago. containing an account of the manners, arts, languages, religions, institutions, and commerce of its inhabitants ... With maps and engravings	Crawfurd, John	lsidyv3c8a5342	Edinburgh	000814875	ark:/81055/vdc_00000005B8D2	1820	http://www.flickr.com/photos/britishlibrary/11005076366	1	000244	11005076366	http://farm8.staticflickr.com/7442/11005076366_381637e748_m.jpg	240	140	http://farm8.staticflickr.com/7442/11005076366_381637e748.jpg	500	291	http://farm8.staticflickr.com/7442/11005076366_381637e748_b.jpg	1024	596	http://farm8.staticflickr.com/7442/11005076366_31ef2c0203_o.jpg	2265	1319
03	Sherwood, Neely & Jones; George Cowie & Co.	A Topographical and Historical Description of London and Middlesex ... By Messrs Brayley, Brewer, and Nightingale ... Illustrated with one hundred and fifty views, etc	BRAYLEY, Edward Wedlake.	lsidyv3c160668	London	000459450	ark:/81055/vdc_00000005690A	1820	http://www.flickr.com/photos/britishlibrary/11004978415	1	000063	11004978415	http://farm3.staticflickr.com/2868/11004978415_239736a225_m.jpg	240	143	http://farm3.staticflickr.com/2868/11004978415_239736a225.jpg	500	298	http://farm3.staticflickr.com/2868/11004978415_239736a225_b.jpg	1024	610	http://farm3.staticflickr.com/2868/11004978415_1efb3f556a_o.jpg	2300	1369
0	William Hone	[The Queen's Matrimonial Ladder, a national toy ... By the author of “The Political House that Jack built” [i.e. William Hone] ... Third edition. (Drawings by George Cruikshank.)]			London	000611972		1820	http://www.flickr.com/photos/britishlibrary/11005203243	1	000011	11005203243	http://farm4.staticflickr.com/3705/11005203243_d6886ce45b_m.jpg	240	105	http://farm4.staticflickr.com/3705/11005203243_d6886ce45b.jpg	500	220	http://farm4.staticflickr.com/3705/11005203243_d6886ce45b_b.jpg	1024	450	http://farm4.staticflickr.com/3705/11005203243_fa29e1e945_o.jpg	2330	1025
0		Travels in Italy, Greece, and the Ionian Islands, in a series of letters ... with engravings, etc	Williams, Hugh William	lsidyv3e6e5e93	Edinburgh	003933562	ark:/81055/vdc_00000005D906	1820	http://www.flickr.com/photos/britishlibrary/11005141654	1	000368	11005141654	http://farm6.staticflickr.com/5483/11005141654_d3cc356d36_m.jpg	240	188	http://farm6.staticflickr.com/5483/11005141654_d3cc356d36.jpg	500	392	http://farm6.staticflickr.com/5483/11005141654_d3cc356d36_b.jpg	1024	803	http://farm6.staticflickr.com/5483/11005141654_c8693645e1_o.jpg	1588	1245
0		[The Queen that Jack found. With thirteen cuts ... Sixth edition. [The dedication signed: An Irishman.]]			London	001819776		1820	http://www.flickr.com/photos/britishlibrary/11005141674	1	000010	11005141674	http://farm4.staticflickr.com/3735/11005141674_a24f87760a_m.jpg	240	155	http://farm4.staticflickr.com/3735/11005141674_a24f87760a.jpg	500	324	http://farm4.staticflickr.com/3735/11005141674_a24f87760a_b.jpg	1024	663	http://farm4.staticflickr.com/3735/11005141674_3a895f48ca_o.jpg	1866	1209
04	Sherwood, Neely & Jones; George Cowie & Co.	A Topographical and Historical Description of London and Middlesex ... By Messrs Brayley, Brewer, and Nightingale ... Illustrated with one hundred and fifty views, etc	BRAYLEY, Edward Wedlake.	lsidyv3c160668	London	000459450	ark:/81055/vdc_00000005690A	1820	http://www.flickr.com/photos/britishlibrary/11004976585	1	000041	11004976585	http://farm3.staticflickr.com/2872/11004976585_31ff710061_m.jpg	240	140	http://farm3.staticflickr.com/2872/11004976585_31ff710061.jpg	500	292	http://farm3.staticflickr.com/2872/11004976585_31ff710061_b.jpg	1024	599	http://farm3.staticflickr.com/2872/11004976585_0651e288dc_o.jpg	2250	1317
0	R. & S. Prowett	[A General History of Malvern, embellished with plates, intended to comprise all the advantages of a guide, with the more important details of chemical, mineralogical, and statistical information. L.P.]	CHAMBERS, John of Worcester		Worcester	000654691		1820	http://www.flickr.com/photos/britishlibrary/11005201543	1	000167	11005201543	http://farm3.staticflickr.com/2811/11005201543_97845e0256_m.jpg	240	139	http://farm3.staticflickr.com/2811/11005201543_97845e0256.jpg	500	290	http://farm3.staticflickr.com/2811/11005201543_97845e0256_b.jpg	1024	594	http://farm3.staticflickr.com/2811/11005201543_4db247e8a0_o.jpg	2150	1248
04	Sherwood, Neely & Jones; George Cowie & Co.	A Topographical and Historical Description of London and Middlesex ... By Messrs Brayley, Brewer, and Nightingale ... Illustrated with one hundred and fifty views, etc	BRAYLEY, Edward Wedlake.	lsidyv3c160668	London	000459450	ark:/81055/vdc_00000005690A	1820	http://www.flickr.com/photos/britishlibrary/11005139514	1	000055	11005139514	http://farm6.staticflickr.com/5513/11005139514_57793846ba_m.jpg	240	147	http://farm6.staticflickr.com/5513/11005139514_57793846ba.jpg	500	306	http://farm6.staticflickr.com/5513/11005139514_57793846ba_b.jpg	1024	626	http://farm6.staticflickr.com/5513/11005139514_97167262d3_o.jpg	2239	1369
0		Travels in Italy, Greece, and the Ionian Islands, in a series of letters ... with engravings, etc	Williams, Hugh William	lsidyv3e6e5e93	Edinburgh	003933562	ark:/81055/vdc_00000005D906	1820	http://www.flickr.com/photos/britishlibrary/11005139254	1	000666	11005139254	http://farm3.staticflickr.com/2830/11005139254_7027b87c2f_m.jpg	240	124	http://farm3.staticflickr.com/2830/11005139254_7027b87c2f.jpg	500	257	http://farm3.staticflickr.com/2830/11005139254_7027b87c2f_b.jpg	1024	527	http://farm3.staticflickr.com/2830/11005139254_b217a22b51_o.jpg	2380	1224
