flickr_id	flickr_url	book_identifier	title	first_author	pubplace	publisher	date	volume	page	image_idx	ARK_id_of_book	BL_DLS_ID
11117416256	http://www.flickr.com/photos/britishlibrary/11117416256	003897867	Where to buy at Weston-super-Mare. An illustrated local trades' review. By the Editor of the “Agents' Guide” ... with illustrations of the West of England		Brighton	Robinson, Son & Pike	1890	0	000085	1	ark:/81055/vdc_00000005797E	lsidyv3c2f7cb8
11117381475	http://www.flickr.com/photos/britishlibrary/11117381475	002035443	Gems and Precious Stones of North America. A popular description of their occurrence, value, history, archæology, and of the collections in which they exist, also a chapter on pearls and on remarkable foreign gems owned in the United States. Illustrated, etc	KUNZ, George Frederick.	New York	Scientific Publishing Co.	1890	0	000235	2	ark:/81055/vdc_00000005E29C	lsidyv3cca6f38
11117380995	http://www.flickr.com/photos/britishlibrary/11117380995	004006209	Kongo-Fahrten. [In verse.] Von Z****		Dresden		1890	0	000615	1		
11117564383	http://www.flickr.com/photos/britishlibrary/11117564383	001432464	The Emancipated. A novel	Gissing, George	London	R. Bentley & Son	1890	02	000259	1	ark:/81055/vdc_00000004F6B0	lsidyv3b66ce04
11117445654	http://www.flickr.com/photos/britishlibrary/11117445654	000760395	Histoire de Saint-Chamond et de la seigneurie de Jarez depuis les temps les plus reculés jusqu'à nos jours	CONDAMIN, James Jean Pierre.	Paris		1890	0	000353	1		
11117445254	http://www.flickr.com/photos/britishlibrary/11117445254	000044627	The Aldine “O'er Land and Sea.” Library		London	408 no. Aldine Publishing Co.	1890	13	000551	1		
11117445324	http://www.flickr.com/photos/britishlibrary/11117445324	002201024	The Caravan to Venice of the Liverpool Teachers' Guild. Annotated with pen and pencil by Party IX		Liverpool	F. & E. Gibbons	1890	0	000024	3	ark:/81055/vdc_0000000551A6	lsidyv3be2b03e
11117414136	http://www.flickr.com/photos/britishlibrary/11117414136	000715475	The Austral Edition of the Selected Works of Marcus Clarke, together with a biography and monograph of the deceased author, compiled and edited by Hamilton Mackinnon. [With portraits.]	Clarke, Marcus Andrew Hislop	Melbourne	viii. Fergusson & Mitchell	1890	0	000112	1		
11117562393	http://www.flickr.com/photos/britishlibrary/11117562393	000519957	Von den Vogesen zum Balkan	BUEHLER, Adolph.	Magdeburg		1890	0	000141	1		
11117379345	http://www.flickr.com/photos/britishlibrary/11117379345	002035443	Gems and Precious Stones of North America. A popular description of their occurrence, value, history, archæology, and of the collections in which they exist, also a chapter on pearls and on remarkable foreign gems owned in the United States. Illustrated, etc	KUNZ, George Frederick.	New York	Scientific Publishing Co.	1890	0	000145	1	ark:/81055/vdc_00000005E29C	lsidyv3cca6f38
