volume	publisher	title	first_author	BL_DLS_ID	pubplace	book_identifier	ARK_id_of_book	date	flickr_url	image_idx	page	flickr_id	flickr_small_source	flickr_small_height	flickr_small_width	flickr_medium_source	flickr_medium_height	flickr_medium_width	flickr_large_source	flickr_large_height	flickr_large_width	flickr_original_source	flickr_original_height	flickr_original_width
0		(Second Series.) Second edition	Hood, Thomas		London	001726726		1829	http://www.flickr.com/photos/britishlibrary/11003123343	1	000174	11003123343	http://farm6.staticflickr.com/5536/11003123343_5e197b13cd_m.jpg	128	240	http://farm6.staticflickr.com/5536/11003123343_5e197b13cd.jpg	267	500	http://farm6.staticflickr.com/5536/11003123343_5e197b13cd_b.jpg	547	1024	http://farm6.staticflickr.com/5536/11003123343_3c2789419c_o.jpg	591	1106
0		[Portugal illustrated; in a series of letters, embellished with a Map, Plates of Coins, etc.]	KINSEY, William Morgan.		London	001972024		1829	http://www.flickr.com/photos/britishlibrary/11002904795	1	000695	11002904795	http://farm4.staticflickr.com/3728/11002904795_5b2039bcab_m.jpg	240	135	http://farm4.staticflickr.com/3728/11002904795_5b2039bcab.jpg	500	282	http://farm4.staticflickr.com/3728/11002904795_5b2039bcab_b.jpg	1024	578	http://farm4.staticflickr.com/3728/11002904795_4e2ae8d02f_o.jpg	1293	730
05		Glanures, ou pièces et citations historiques, littéraires, etc. Nos. 1-5	GRENUS-SALADIN, François Théodore Louis Baron		Genève	001508650		1829	http://www.flickr.com/photos/britishlibrary/11003064254	1	000022	11003064254	http://farm4.staticflickr.com/3680/11003064254_a0b8f19fa9_m.jpg	240	104	http://farm4.staticflickr.com/3680/11003064254_a0b8f19fa9.jpg	500	217	http://farm4.staticflickr.com/3680/11003064254_a0b8f19fa9_b.jpg	1006	436	http://farm4.staticflickr.com/3680/11003064254_6abb3dc430_o.jpg	1006	436
0		Letters from the Ægean	EMERSON, James afterwards TENNENT (Sir James Emerson)	lsidyv3c3772b5	London	001065482	ark:/81055/vdc_000000058272	1829	http://www.flickr.com/photos/britishlibrary/11003000166	1	000420	11003000166	http://farm4.staticflickr.com/3682/11003000166_8a320820a1_m.jpg	240	233	http://farm4.staticflickr.com/3682/11003000166_8a320820a1.jpg	500	486	http://farm4.staticflickr.com/3682/11003000166_8a320820a1_b.jpg	1001	973	http://farm4.staticflickr.com/3682/11003000166_5d84a649da_o.jpg	1001	973
0		[Portugal illustrated; in a series of letters, embellished with a Map, Plates of Coins, etc.]	KINSEY, William Morgan.		London	001972024		1829	http://www.flickr.com/photos/britishlibrary/11003122133	1	000130	11003122133	http://farm6.staticflickr.com/5524/11003122133_1ebc3c5010_m.jpg	27	240	http://farm6.staticflickr.com/5524/11003122133_1ebc3c5010.jpg	57	500	http://farm6.staticflickr.com/5524/11003122133_1ebc3c5010_b.jpg	117	1024	http://farm6.staticflickr.com/5524/11003122133_1da0f41b03_o.jpg	182	1598
03		Historia de la revolucion hispano-americana	TORRENTE, Mariano.		Madrid	003656903		1829	http://www.flickr.com/photos/britishlibrary/11003063714	1	000336	11003063714	http://farm8.staticflickr.com/7422/11003063714_f67cb2acca_m.jpg	240	213	http://farm8.staticflickr.com/7422/11003063714_f67cb2acca.jpg	413	367				http://farm8.staticflickr.com/7422/11003063714_428001c959_o.jpg	413	367
01	William Pickering	[The Poetical Works of S. T. Coleridge, including the dramas of Wallenstein, Remorse and Zapolya.]	COLERIDGE, Samuel Taylor.		London	000742144		1829	http://www.flickr.com/photos/britishlibrary/11003063194	1	000009	11003063194	http://farm4.staticflickr.com/3795/11003063194_174ac34db7_m.jpg	240	165	http://farm4.staticflickr.com/3795/11003063194_174ac34db7.jpg	500	344	http://farm4.staticflickr.com/3795/11003063194_174ac34db7_b.jpg	767	527	http://farm4.staticflickr.com/3795/11003063194_215656db96_o.jpg	767	527
0		The National Reader: a selection of exercises in reading and speaking ... re-edited by E. H. Barker ... With an appendix by the present editor	PIERPONT, John the Elder		London	002912864		1829	http://www.flickr.com/photos/britishlibrary/11003121803	1	000200	11003121803	http://farm4.staticflickr.com/3802/11003121803_cd7bf5f74e_m.jpg	11	240	http://farm4.staticflickr.com/3802/11003121803_cd7bf5f74e.jpg	24	500	http://farm4.staticflickr.com/3802/11003121803_cd7bf5f74e_b.jpg	31	651	http://farm4.staticflickr.com/3802/11003121803_f3cb69b1a9_o.jpg	31	651
0	Henry Colburn	Travels in Arabia, comprehending an account of those territories in Hedjaz which the Mohammedans regard as sacred. [Edited, with a preface, by Sir William Ouseley.]	BURCKHARDT, John Lewis.	lsidyv3c6982ec	London	000533680	ark:/81055/vdc_00000005AB0A	1829	http://www.flickr.com/photos/britishlibrary/11002902645	1	000082	11002902645	http://farm3.staticflickr.com/2837/11002902645_eebce86480_m.jpg	216	172							http://farm3.staticflickr.com/2837/11002902645_b861011f9a_o.jpg	216	172
03		Historia de la revolucion hispano-americana	TORRENTE, Mariano.		Madrid	003656903		1829	http://www.flickr.com/photos/britishlibrary/11003062864	1	000624	11003062864	http://farm3.staticflickr.com/2885/11003062864_8669c45c19_m.jpg	133	240	http://farm3.staticflickr.com/2885/11003062864_8669c45c19.jpg	200	361				http://farm3.staticflickr.com/2885/11003062864_04374243fd_o.jpg	200	361
