volume	publisher	title	first_author	BL_DLS_ID	pubplace	book_identifier	ARK_id_of_book	date	flickr_url	image_idx	page	flickr_id	flickr_small_source	flickr_small_height	flickr_small_width	flickr_medium_source	flickr_medium_height	flickr_medium_width	flickr_large_source	flickr_large_height	flickr_large_width	flickr_original_source	flickr_original_height	flickr_original_width
04	Printed for Bernard Lintot	[The Odyssey of Homer. [Translated into English verse, by Pope, W. Broome, and E. Fenton; with notes by W. Broome.] (A general view of the Epic poem, and of the Iliad and Odyssey, extracted from Bossu. Postscript, by Mr Pope. Homer's Battle of the Frogs and Mice [translated by T. Parnell], corrected by Mr Pope.)]	Homer.		London	001722934		1725	http://www.flickr.com/photos/britishlibrary/11219033555	1	000207	11219033555	http://farm4.staticflickr.com/3695/11219033555_b44b2b1d44_m.jpg	103	240	http://farm4.staticflickr.com/3695/11219033555_b44b2b1d44.jpg	215	500	http://farm4.staticflickr.com/3695/11219033555_b44b2b1d44_b.jpg	440	1024	http://farm4.staticflickr.com/3695/11219033555_69916794c9_o.jpg	923	2150
01	Printed for Bernard Lintot	[The Odyssey of Homer. [Translated into English verse, by Pope, W. Broome, and E. Fenton; with notes by W. Broome.] (A general view of the Epic poem, and of the Iliad and Odyssey, extracted from Bossu. Postscript, by Mr Pope. Homer's Battle of the Frogs and Mice [translated by T. Parnell], corrected by Mr Pope.)]	Homer.		London	001722934		1725	http://www.flickr.com/photos/britishlibrary/11219034294	1	000022	11219034294	http://farm6.staticflickr.com/5526/11219034294_072f067aa9_m.jpg	173	240	http://farm6.staticflickr.com/5526/11219034294_072f067aa9.jpg	360	500	http://farm6.staticflickr.com/5526/11219034294_072f067aa9_b.jpg	737	1024	http://farm6.staticflickr.com/5526/11219034294_9d0042094e_o.jpg	907	1261
05	Printed for Bernard Lintot	[The Odyssey of Homer. [Translated into English verse, by Pope, W. Broome, and E. Fenton; with notes by W. Broome.] (A general view of the Epic poem, and of the Iliad and Odyssey, extracted from Bossu. Postscript, by Mr Pope. Homer's Battle of the Frogs and Mice [translated by T. Parnell], corrected by Mr Pope.)]	Homer.		London	001722934		1725	http://www.flickr.com/photos/britishlibrary/11219033265	1	000265	11219033265	http://farm4.staticflickr.com/3770/11219033265_4132073006_m.jpg	240	187	http://farm4.staticflickr.com/3770/11219033265_4132073006.jpg	500	390	http://farm4.staticflickr.com/3770/11219033265_4132073006_b.jpg	1024	799	http://farm4.staticflickr.com/3770/11219033265_c25c1fd35f_o.jpg	1252	977
05	Printed for Bernard Lintot	[The Odyssey of Homer. [Translated into English verse, by Pope, W. Broome, and E. Fenton; with notes by W. Broome.] (A general view of the Epic poem, and of the Iliad and Odyssey, extracted from Bossu. Postscript, by Mr Pope. Homer's Battle of the Frogs and Mice [translated by T. Parnell], corrected by Mr Pope.)]	Homer.		London	001722934		1725	http://www.flickr.com/photos/britishlibrary/11219032645	1	000233	11219032645	http://farm4.staticflickr.com/3738/11219032645_637a39b78b_m.jpg	106	240	http://farm4.staticflickr.com/3738/11219032645_637a39b78b.jpg	220	500	http://farm4.staticflickr.com/3738/11219032645_637a39b78b_b.jpg	451	1024	http://farm4.staticflickr.com/3738/11219032645_0b22e87e47_o.jpg	906	2057
04	Printed for Bernard Lintot	[The Odyssey of Homer. [Translated into English verse, by Pope, W. Broome, and E. Fenton; with notes by W. Broome.] (A general view of the Epic poem, and of the Iliad and Odyssey, extracted from Bossu. Postscript, by Mr Pope. Homer's Battle of the Frogs and Mice [translated by T. Parnell], corrected by Mr Pope.)]	Homer.		London	001722934		1725	http://www.flickr.com/photos/britishlibrary/11219032994	1	000231	11219032994	http://farm4.staticflickr.com/3720/11219032994_21c0d7b71e_m.jpg	224	240	http://farm4.staticflickr.com/3720/11219032994_21c0d7b71e.jpg	467	500	http://farm4.staticflickr.com/3720/11219032994_21c0d7b71e_b.jpg	957	1024	http://farm4.staticflickr.com/3720/11219032994_877c5cfd62_o.jpg	1336	1430
04	Printed for Bernard Lintot	[The Odyssey of Homer. [Translated into English verse, by Pope, W. Broome, and E. Fenton; with notes by W. Broome.] (A general view of the Epic poem, and of the Iliad and Odyssey, extracted from Bossu. Postscript, by Mr Pope. Homer's Battle of the Frogs and Mice [translated by T. Parnell], corrected by Mr Pope.)]	Homer.		London	001722934		1725	http://www.flickr.com/photos/britishlibrary/11219046636	1	000079	11219046636	http://farm3.staticflickr.com/2848/11219046636_8c9fd2893d_m.jpg	99	240	http://farm3.staticflickr.com/2848/11219046636_8c9fd2893d.jpg	207	500	http://farm3.staticflickr.com/2848/11219046636_8c9fd2893d_b.jpg	424	1024	http://farm3.staticflickr.com/2848/11219046636_c77592fb3d_o.jpg	890	2150
04	Printed for Bernard Lintot	[The Odyssey of Homer. [Translated into English verse, by Pope, W. Broome, and E. Fenton; with notes by W. Broome.] (A general view of the Epic poem, and of the Iliad and Odyssey, extracted from Bossu. Postscript, by Mr Pope. Homer's Battle of the Frogs and Mice [translated by T. Parnell], corrected by Mr Pope.)]	Homer.		London	001722934		1725	http://www.flickr.com/photos/britishlibrary/11219147973	1	000015	11219147973	http://farm6.staticflickr.com/5482/11219147973_61e8cdf42a_m.jpg	100	240	http://farm6.staticflickr.com/5482/11219147973_61e8cdf42a.jpg	208	500	http://farm6.staticflickr.com/5482/11219147973_61e8cdf42a_b.jpg	426	1024	http://farm6.staticflickr.com/5482/11219147973_00cf5cd4a7_o.jpg	895	2150
01	Printed for Bernard Lintot	[The Odyssey of Homer. [Translated into English verse, by Pope, W. Broome, and E. Fenton; with notes by W. Broome.] (A general view of the Epic poem, and of the Iliad and Odyssey, extracted from Bossu. Postscript, by Mr Pope. Homer's Battle of the Frogs and Mice [translated by T. Parnell], corrected by Mr Pope.)]	Homer.		London	001722934		1725	http://www.flickr.com/photos/britishlibrary/11219031004	1	000111	11219031004	http://farm3.staticflickr.com/2839/11219031004_9fe3a55f79_m.jpg	139	240	http://farm3.staticflickr.com/2839/11219031004_9fe3a55f79.jpg	290	500	http://farm3.staticflickr.com/2839/11219031004_9fe3a55f79_b.jpg	594	1024	http://farm3.staticflickr.com/2839/11219031004_a8cfb0ba76_o.jpg	1081	1862
01	Printed for Bernard Lintot	[The Odyssey of Homer. [Translated into English verse, by Pope, W. Broome, and E. Fenton; with notes by W. Broome.] (A general view of the Epic poem, and of the Iliad and Odyssey, extracted from Bossu. Postscript, by Mr Pope. Homer's Battle of the Frogs and Mice [translated by T. Parnell], corrected by Mr Pope.)]	Homer.		London	001722934		1725	http://www.flickr.com/photos/britishlibrary/11219045386	1	000049	11219045386	http://farm3.staticflickr.com/2809/11219045386_02521a2608_m.jpg	98	240	http://farm3.staticflickr.com/2809/11219045386_02521a2608.jpg	205	500	http://farm3.staticflickr.com/2809/11219045386_02521a2608_b.jpg	420	1024	http://farm3.staticflickr.com/2809/11219045386_18b099deb4_o.jpg	891	2170
05	Printed for Bernard Lintot	[The Odyssey of Homer. [Translated into English verse, by Pope, W. Broome, and E. Fenton; with notes by W. Broome.] (A general view of the Epic poem, and of the Iliad and Odyssey, extracted from Bossu. Postscript, by Mr Pope. Homer's Battle of the Frogs and Mice [translated by T. Parnell], corrected by Mr Pope.)]	Homer.		London	001722934		1725	http://www.flickr.com/photos/britishlibrary/11219030294	1	000176	11219030294	http://farm4.staticflickr.com/3686/11219030294_59bf20e14b_m.jpg	113	240	http://farm4.staticflickr.com/3686/11219030294_59bf20e14b.jpg	235	500	http://farm4.staticflickr.com/3686/11219030294_59bf20e14b_b.jpg	481	1024	http://farm4.staticflickr.com/3686/11219030294_a54b8a093e_o.jpg	860	1832
