flickr_id	flickr_url	book_identifier	title	first_author	pubplace	publisher	date	volume	page	image_idx	ARK_id_of_book	BL_DLS_ID
11219069975	http://www.flickr.com/photos/britishlibrary/11219069975	000194842	Poems on several Occasions. [With a letter from Dean Swift to Lord Orrery, prefixed; and laudatory verses to the author, by Constantia Grierson.]	BARBER, Mary Writer of Verse	London	C. Rivington	1734	0	000037	1		
11219186723	http://www.flickr.com/photos/britishlibrary/11219186723	000918517	On Design and Beauty. An epistle. [By Isaac Hawkins Browne, the elder.]	BROWNE, Isaac Hawkins the Elder	London	J. Roberts	1734	0	000005	1		
11219084796	http://www.flickr.com/photos/britishlibrary/11219084796	003259076	On the departure of the Prince and Princess of Orange. A poem	SAVAGE, Richard.	London		1734	0	000007	1		
11219068805	http://www.flickr.com/photos/britishlibrary/11219068805	001733931	The first satire of the second book of Horace imitated in a Dialogue between A. Pope ... and his learned Council. [By A. Pope.] To which is added, The second satire of the same book. By the same hand	Horace.	London		1734	0	000050	1	ark:/81055/vdc_000000057F54	lsidyv3c348984
11219068105	http://www.flickr.com/photos/britishlibrary/11219068105	000194842	Poems on several Occasions. [With a letter from Dean Swift to Lord Orrery, prefixed; and laudatory verses to the author, by Constantia Grierson.]	BARBER, Mary Writer of Verse	London	C. Rivington	1734	0	000055	1		
11219067895	http://www.flickr.com/photos/britishlibrary/11219067895	000194842	Poems on several Occasions. [With a letter from Dean Swift to Lord Orrery, prefixed; and laudatory verses to the author, by Constantia Grierson.]	BARBER, Mary Writer of Verse	London	C. Rivington	1734	0	000015	1		
11219184333	http://www.flickr.com/photos/britishlibrary/11219184333	001733931	The first satire of the second book of Horace imitated in a Dialogue between A. Pope ... and his learned Council. [By A. Pope.] To which is added, The second satire of the same book. By the same hand	Horace.	London		1734	0	000028	1	ark:/81055/vdc_000000057F54	lsidyv3c348984
11219068644	http://www.flickr.com/photos/britishlibrary/11219068644	000918517	On Design and Beauty. An epistle. [By Isaac Hawkins Browne, the elder.]	BROWNE, Isaac Hawkins the Elder	London	J. Roberts	1734	0	000003	1		
11219183483	http://www.flickr.com/photos/britishlibrary/11219183483	000194842	Poems on several Occasions. [With a letter from Dean Swift to Lord Orrery, prefixed; and laudatory verses to the author, by Constantia Grierson.]	BARBER, Mary Writer of Verse	London	C. Rivington	1734	0	000009	1		
11219082026	http://www.flickr.com/photos/britishlibrary/11219082026	001153987	An Epistle to a Lady, who desired the author to make verses on her, in the heroick style. Also a Poem, occasion'd by reading Dr. Young's Satires, called, The Universal Passion. [By Jonathan Swift.]		London, reprinted	J. Wilford	1734	0	000020	1		
11219065645	http://www.flickr.com/photos/britishlibrary/11219065645	000194842	Poems on several Occasions. [With a letter from Dean Swift to Lord Orrery, prefixed; and laudatory verses to the author, by Constantia Grierson.]	BARBER, Mary Writer of Verse	London	C. Rivington	1734	0	000023	1		
11219065525	http://www.flickr.com/photos/britishlibrary/11219065525	001153987	An Epistle to a Lady, who desired the author to make verses on her, in the heroick style. Also a Poem, occasion'd by reading Dr. Young's Satires, called, The Universal Passion. [By Jonathan Swift.]		London, reprinted	J. Wilford	1734	0	000005	1		
11219181843	http://www.flickr.com/photos/britishlibrary/11219181843	001733931	The first satire of the second book of Horace imitated in a Dialogue between A. Pope ... and his learned Council. [By A. Pope.] To which is added, The second satire of the same book. By the same hand	Horace.	London		1734	0	000029	1	ark:/81055/vdc_000000057F54	lsidyv3c348984
11218946265	http://www.flickr.com/photos/britishlibrary/11218946265	001733931	The first satire of the second book of Horace imitated in a Dialogue between A. Pope ... and his learned Council. [By A. Pope.] To which is added, The second satire of the same book. By the same hand	Horace.	London		1734	0	000029	1	ark:/81055/vdc_000000057F54	lsidyv3c348984
